01,101,3
02,101,2
03,101,4
04,101,2
05,101,5
06,101,3
07,101,2
08,101,4
09,101,2
10,101,5
06,102,3
07,102,2
08,102,4
09,102,2
10,102,5
11,102,3
12,102,6
13,102,4
14,102,7
15,102,5
16,102,3
17,102,2
18,102,4
19,102,2
20,102,5
16,104,3
17,104,2
18,104,4
19,104,2
20,104,5
01,104,3
02,104,2
03,104,4
04,104,2
05,104,5
06,104,3
07,104,7
08,104,4
09,104,9
10,104,5
01,103,3
02,103,2
03,103,4
04,103,2
05,103,5
06,103,3
11,103,3
12,103,6
13,103,4
14,103,7
15,103,5
16,103,3
17,103,7
18,103,4
19,103,2
20,103,5
